epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,lr
1,0.6763123646971402,0.6676568992166634,0.5139257294429708,0.5240963855421686,0.7875257688437968,0.7842938017128757,0.001
2,0.6034591409824888,0.6042495319642216,0.6007957559681698,0.5963855421686747,0.8315808174264224,0.8173900420960952,0.001
3,1.5286566148702283,1.51526703461107,0.5,0.5,0.8129859142047013,0.8002612861082885,0.001
4,1.2420511682090456,1.2461557215954884,0.5,0.5,0.8214016843853119,0.8021483524459283,0.001
5,0.5769096133879704,0.5768527467566801,0.6193633952254642,0.6325301204819277,0.8440043903777553,0.8288575990709828,0.001
6,0.905006518256443,0.9145065718386547,0.5,0.5,0.854512449957433,0.8314704601538685,0.001
7,0.7458895972932366,0.7392292898821543,0.503315649867374,0.5120481927710844,0.8484492960620282,0.8440992887211496,0.001
8,0.7125636642744434,0.7094588631606964,0.5676392572944297,0.5602409638554217,0.8556716081869289,0.8343736391348526,0.001
9,0.46549135209394704,0.4693971333733524,0.7811671087533156,0.8012048192771084,0.8619898120721317,0.8551313688488895,0.0005
10,0.6880272802370613,0.6914501893951233,0.5291777188328912,0.536144578313253,0.8637065623482892,0.8465669908549862,0.0005
